,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,The Evening After,"Toronto, ON","Morning Bloom, Evening Glow 
“K.N.A” OUT NOW
“Vol. 3 - Escape Theory” OUT NOW
Management / Inquiries: @callmegulliver",False,2022-10-09 23:01:17+00:00,"What's the outfit tonight? 😏
⁠
Streaming Everywhere | Link in bio*⁠
⁠
#saturday #weekend #sexpositive #weekendmood #deephouse #techhouse #spotify #theeveningafter #lifestyle #fashiontrends #styleblogger #fashioninspo #fashion #style #model #painting #makeup #fashionblogger https://t.co/6SHAOlgBik","['saturday', 'weekend', 'sexpositive', 'weekendmood']",LaterMedia
1,✨ Heard.Zone 👑 Celebrity 💋 Beauty 👠 Fashion ✨,LA BABY!,"🔥🔥🔥 Celebrity, Beauty, & Fashion Blogger 🔥🔥🔥",False,2022-10-09 21:22:39+00:00,"FESTIVE FEATHERS - #fashion #fashionable #fashionaddict #fashionblogger #fashionbloggers #fashiongram #fashionicon #fashioninspo #fashionista #fashionistas #fashionlove #fashionlovers #fashionpost #fashionstyle #fashiontrends #Feathers #Festive #insta...
https://t.co/UcQiNBO5OC","['fashion', 'fashionable', 'fashionaddict', 'fashionblogger', 'fashionbloggers', 'fashiongram', 'fashionicon']",Heard.Zone
2,Best Dressed,"Fort Myers, FL",High fashion at your fingertips! ✨,False,2022-10-09 17:40:36+00:00,"Our classic cloud slides are the comfiest shoes around!
Shop Kat's Cloud Slides today in all yoru fave colors! ☁️👟⁠
⁠
https://t.co/v4mb0dyunV

#minimal #heels #fashionrevolution #black #fashiontrends⁠ #summerfashion #fashioninspo #vintagefashion #glamour #cloudshoes #slippers https://t.co/v1pGqzMlxE",,LaterMedia
3,I M Fabia,Canada,"I create fashion content! fashion reviews, ootd inspos, moodboards, celeb fashion, where to shop, what to wear, how to wear",False,2022-10-09 17:33:44+00:00,Trendiest Knitwear At Net-A-Porter #fashiontrends https://t.co/xqPc6flRjb via @YouTube #knitwear #sweater #netaporter #fashiontrends,"['fashiontrends', 'knitwear', 'sweater', 'netaporter', 'fashiontrends']",Twitter for iPhone
4,Himanshu Dash,India,"A Brand Nosy peeping 👀 in #brands that are lovable, trendy and spontaneous in your mind and heart!",False,2022-10-09 16:32:50+00:00,"Or like #Celio, a cool, fun-loving and smart one
#trendy #FashionTrends #lookatme 
https://t.co/zevBbSp3Hs","['Celio', 'trendy', 'FashionTrends', 'lookatme']",Twitter Web App
5,The Evening After,"Toronto, ON","Morning Bloom, Evening Glow 
“K.N.A” OUT NOW
“Vol. 3 - Escape Theory” OUT NOW
Management / Inquiries: @callmegulliver",False,2022-10-09 16:15:54+00:00,"What's the outfit tonight? 😏
⁠
Streaming Everywhere | Link in bio*⁠
⁠
#saturday #weekend #sexpositive #weekendmood #deephouse #techhouse #spotify #theeveningafter #lifestyle #fashiontrends #styleblogger #fashioninspo #fashion #style #model #painting #makeup #fashionblogger https://t.co/jyeRZcCll7","['saturday', 'weekend', 'sexpositive', 'weekendmood']",LaterMedia
6,Mustafa Salah,"El Sharkia, Egypt","I Love Gaming, Reading, Psychology",False,2022-10-09 10:58:12+00:00,"#Acelitt #Women Short Sleeve V Neck Button Belted
https://t.co/g4G3jGjLmV
#fashionstylist #woman #Jewellry #womanfashion #clothe #clothes
#fashion #fashionblogger #womenstyle #fashiontrends
#amazonseller #amazondeals #AmazonBestSeller #amazonprime #accessories #accessory #USA","['Acelitt', 'Women', 'fashionstylist', 'woman', 'Jewellry']",Twitter for Android
7,Oh Women,,"We celebrate women everyday and not just on 8th March. We have created exclusively space for her, where she can ignite conversation and pour her heart out.",False,2022-10-09 10:21:07+00:00,"A visual adventure to this festive season's celebrations

https://t.co/xfe3NSjAKs

#Fashion  #Shopping  #FashionTrends  #ShoppingIdeas #BrighterThanEver @jimSarbh @ManushiChhillar @shantanum07 @ZaedenMusic #AmitKothari @hm @hmindia #HMHOME @myntra #MadeinIndia @oh_women https://t.co/0XVEoK15KF","['Fashion', 'Shopping']",Twitter Web App
8,Mustafa Salah,"El Sharkia, Egypt","I Love Gaming, Reading, Psychology",False,2022-10-09 09:44:32+00:00,"Up to 80% off #Jewelry com
https://t.co/VGYGDiEwox
#dress #clothes #clothesline #fashionstylist #women #jewelrydesigner #jewelrydesign
#fashion #fashionblogger #fashioninspiration #womenstyle #fashiontrends #accessories #Accessory #jewellry #usa #ebay #ebaystore","['Jewelry', 'dress', 'clothes', 'clothesline', 'fashionstylist', 'women']",Twitter for Android
9,Mustafa Salah,"El Sharkia, Egypt","I Love Gaming, Reading, Psychology",False,2022-10-09 09:39:52+00:00,"#PRETTYGARDEN #Women's Two Piece Tracksuit
https://t.co/pOoXk3JBEJ
#fashionstylist #woman #Jewellry #womanfashion #clothe #clothes
#fashion #fashionblogger #womenstyle #fashiontrends
#amazonseller #amazondeals #AmazonBestSeller #amazonprime #accessories #accessory #USA","['PRETTYGARDEN', 'Women', 'fashionstylist', 'woman', 'Jewellry', 'womanfashion']",Twitter for Android
